Article_ID,Author (Last),2 to 5,6 to 9,10+,Space1,B,D,L,ND,R,Space2,CV,LOSO,SS,Space3,A,A+F1,F1,O,Space4,Mult. Algs,CW,Dif Dataset,Cross Dataset,Space5,Data Avail,Open Source Code,Open Weight Model,Space6,Replicable,Reproducible
66,"Abbas, M",Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y,,,,,,,,,
94,"Abbas, M",Y,,,,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,Y,
134,"Ahmadi, M ",Y,,,,,,,,,,,Y,,,,Y,,,,Y,Y,,,,,,,,Y,
138,"Ahmadi, M ",Y,,,,,,,Y,,,,,,,Y,,,,,Y,Y,,,,,,,,,
12,"Ahmadi, M ",Y,,,,,,,,,,,Y,,,Y,,,,,,Y,,,,Y,Y,Y,,Y,Y
1,"Ahmadi, M ",Y,,,,,,,Y,,,,Y,,,,,Y,,,,Y,,,,Y,Y,Y,,Y,Y
22,"Alexan, A",,,Y,,Y,,,,,,,,,,Y,,,,,Y,,,,,Y,,,,Y,
23,"Allik, A",,,Y,,,,Y,,,,,Y,,,,,,Y,,,Y,,,,,,,,,
80,"Altini, M",Y,,,,,Y,,,,,,Y,,,Y,,,,,,Y,,,,,,,,,
10,"Arani, M",Y,,,,,,,Y,,,,,,,,,Y,,,,Y,,,,Y,,,,Y,
96,"Atallah, L",Y,,,,,,,,Y,,,Y,,,,,,Y,,Y,Y,,,,,,,,Y,
120,"Atallah, L",,,Y,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,Y,
5,"Banos, O",Y,,,,,,,,,,Y,,,,Y,,,,,Y,,Y*,,,Y,,,,,
24,"Bennasar, M",,Y,Y,,,Y,,,,,Y,,,,,Y,,,,Y,,Y,,,Y,,,,,
4,"Bhalla, S",,,Y,,,,,,,,Y,,,,Y,,,,,Y,,,,,Y,,,,,
6,"Bieber, G",Y,,,,,,Y,,,,Y,Y,,,Y,,,,,,Y,,,,,,,,,
25,"Bock, M",,Y,,,,,,,,,,Y,,,,,Y,,,Y,,Y,,,Y,Y,,,Y,Y
33,"Boukhennoufa, I",,,Y,,,Y,,,,,,,Y,,Y,,,,,Y,Y,,,,Y,,,,,
26,"Burns, D",,,Y,,,,,,,,Y,,,,Y,,,,,Y,,,,,Y,Y,,,Y,
71,"Casale, P",Y,Y,,,Y,Y,,,Y,,Y,,,,Y,,,,,Y,,Y,,,Y*,,,,,
82,"Cescon, M",Y,,,,,,,Y,,,,,Y,,,Y,,,,Y,Y,,,,,,,,Y,
28,"Chakma, A",Y,,Y,,Y,Y,,,,,,,Y,,,,Y,,,Y,,Y,,,Y,,,,,
84,"Chang, Y",Y,Y,,,Y,,,,,,,,,,,,Y,,,,,Y,,,Y,,,,Y,
59,"Chernbumroong, S",Y,,,,,,,Y,,,Y,,,,,Y,,,,Y,,,,,,,,,,
39,"Choi, H",,Y,,,,,,Y,,,,Y,,,Y,,,,,,Y,,,,,,,,,
132,"Chowdhury, A",Y,Y,,,,Y,,Y,,,,Y,,,,,Y,,,Y,Y,,,,Y,Y,,,Y,
17,"Cleland, I",,Y,,,,,Y,,,,Y,,,,,Y,,,,Y,Y,,,,,,,,,
44,"Coelho, Y",,,Y,,,,,,Y,,,,Y,,Y,,,,,,,,,,Y,,,,,
83,"Dalton, A",,,Y,,,Y,,,,,,Y,,,,,,Y,,Y,,,,,,,,,Y,
119,"Davoudi, A",,,Y,,,,,,Y,,Y,,,,Y,,,,,Y,Y,,,,,,,,,
116,"Davoudi, A",,,Y,,,,,,Y,,Y,,,,Y,,,,,,Y,,,,,,,,,
85,"de Faria, I",Y,,,,,,,,,,Y,,,,Y,,,,,Y,,,,,,,,,,
11,"De Vita, A",Y,,Y,,,,,,,,,,Y,,,,,Y,,,,,,,Y,,,,,
27,"De Vita, A",Y,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,Y,,,,,
9,"De Vita, A",Y,,,,,,,,,,Y,,,,Y,,,,,,,Y,,,Y,,,,,
99,"De, P",,Y,,,,,,,,,,,Y,,Y,,,,,Y,Y,,,,Y,,,,,
8,"Dewan, A",,Y,,,,Y,,,,,,,Y,,,Y,,,,Y,,,,,,,,,,
46,"Dong, Y",,,Y,,,,,,Y,,Y,,,,Y,,,,,Y,Y,,,,Y,,,,,
109,"Duong, T",Y,,,,,Y,,,,,,Y,,,,Y,,,,,Y,,,,,,,,Y,
21,"Dutta, A",,,Y,,,,,Y,,,,,Y,,Y,,,,,Y,,Y*,,,,,,,Y,
86,"Elsts, A",Y,,,,,,,,,,,,,,,Y,,,,,,,,,Y,Y*,,,,
87,"Essa, E",,,Y,,,,,,Y,,,Y,,,,Y,,,,Y,Y,Y,,,Y,,,,,
13,"Farag, M",,Y,,,,,,,,,,,Y,,,Y,,,,,Y,Y,,,Y,,,,Y,
